genres,plot_keyword
Action,avatar
Action,future
Action,marine
Action,native
Action,paraplegic
Adventure,avatar
Adventure,future
Adventure,marine
Adventure,native
Adventure,paraplegic
Fantasy,avatar
Fantasy,future
Fantasy,marine
Fantasy,native
Fantasy,paraplegic
Sci-Fi,avatar
Sci-Fi,future
Sci-Fi,marine
Sci-Fi,native
Sci-Fi,paraplegic
Action,goddess
Action,marriage ceremony
Action,marriage proposal
Action,pirate
Action,singapore
Adventure,goddess
Adventure,marriage ceremony
Adventure,marriage proposal
Adventure,pirate
Adventure,singapore
Fantasy,goddess
Fantasy,marriage ceremony
Fantasy,marriage proposal
Fantasy,pirate
Fantasy,singapore
Action,bomb
Action,espionage
Action,sequel
Action,spy
Action,terrorist
Adventure,bomb
Adventure,espionage
Adventure,sequel
Adventure,spy
Adventure,terrorist
Thriller,bomb
Thriller,espionage
Thriller,sequel
Thriller,spy
Thriller,terrorist
Action,deception
Action,imprisonment
Action,lawlessness
Action,police officer
Action,terrorist plot
Thriller,deception
Thriller,imprisonment
Thriller,lawlessness
Thriller,police officer
Thriller,terrorist plot
Action,alien
Action,american civil war
Action,male nipple
Action,mars
Action,princess
Adventure,alien
Adventure,american civil war
Adventure,male nipple
Adventure,mars
Adventure,princess
Sci-Fi,alien
Sci-Fi,american civil war
Sci-Fi,male nipple
Sci-Fi,mars
Sci-Fi,princess
Action,sandman
Action,spider man
Action,symbiote
Action,venom
Action,villain
Adventure,sandman
Adventure,spider man
Adventure,symbiote
Adventure,venom
Adventure,villain
Romance,sandman
Romance,spider man
Romance,symbiote
Romance,venom
Romance,villain
Adventure,17th century
Adventure,based on fairy tale
Adventure,disney
Adventure,flower
Adventure,tower
Animation,17th century
Animation,based on fairy tale
Animation,disney
Animation,flower
Animation,tower
Comedy,17th century
Comedy,based on fairy tale
Comedy,disney
Comedy,flower
Comedy,tower
Family,17th century
Family,based on fairy tale
Family,disney
Family,flower
Family,tower
Fantasy,17th century
Fantasy,based on fairy tale
Fantasy,disney
Fantasy,flower
Fantasy,tower
Musical,17th century
Musical,based on fairy tale
Musical,disney
Musical,flower
Musical,tower
Romance,17th century
Romance,based on fairy tale
Romance,disney
Romance,flower
Romance,tower
Action,artificial intelligence
Action,based on comic book
Action,captain america
Action,marvel cinematic universe
Action,superhero
Adventure,artificial intelligence
Adventure,based on comic book
Adventure,captain america
Adventure,marvel cinematic universe
Adventure,superhero
Sci-Fi,artificial intelligence
Sci-Fi,based on comic book
Sci-Fi,captain america
Sci-Fi,marvel cinematic universe
Sci-Fi,superhero
Adventure,blood
Adventure,book
Adventure,love
Adventure,potion
Adventure,professor
Family,blood
Family,book
Family,love
Family,potion
Family,professor
Fantasy,blood
Fantasy,book
Fantasy,love
Fantasy,potion
Fantasy,professor
Mystery,blood
Mystery,book
Mystery,love
Mystery,potion
Mystery,professor
Action,based on comic book
Action,batman
Action,sequel to a reboot
Action,superhero
Action,superman
Adventure,based on comic book
Adventure,batman
Adventure,sequel to a reboot
Adventure,superhero
Adventure,superman
Sci-Fi,based on comic book
Sci-Fi,batman
Sci-Fi,sequel to a reboot
Sci-Fi,superhero
Sci-Fi,superman
Action,crystal
Action,epic
Action,lex luthor
Action,lois lane
Action,return to earth
Adventure,crystal
Adventure,epic
Adventure,lex luthor
Adventure,lois lane
Adventure,return to earth
Sci-Fi,crystal
Sci-Fi,epic
Sci-Fi,lex luthor
Sci-Fi,lois lane
Sci-Fi,return to earth
Action,action hero
Action,attempted rape
Action,bond girl
Action,official james bond series
Action,revenge
Adventure,action hero
Adventure,attempted rape
Adventure,bond girl
Adventure,official james bond series
Adventure,revenge
Action,box office hit
Action,giant squid
Action,heart
Action,liar's dice
Action,monster
Adventure,box office hit
Adventure,giant squid
Adventure,heart
Adventure,liar's dice
Adventure,monster
Fantasy,box office hit
Fantasy,giant squid
Fantasy,heart
Fantasy,liar's dice
Fantasy,monster
Action,horse
Action,outlaw
Action,texas
Action,texas ranger
Action,train
Adventure,horse
Adventure,outlaw
Adventure,texas
Adventure,texas ranger
Adventure,train
Western,horse
Western,outlaw
Western,texas
Western,texas ranger
Western,train
Action,based on comic book
Action,british actor playing american character
Action,final battle
Action,origin of hero
Action,reboot
Adventure,based on comic book
Adventure,british actor playing american character
Adventure,final battle
Adventure,origin of hero
Adventure,reboot
Fantasy,based on comic book
Fantasy,british actor playing american character
Fantasy,final battle
Fantasy,origin of hero
Fantasy,reboot
Sci-Fi,based on comic book
Sci-Fi,british actor playing american character
Sci-Fi,final battle
Sci-Fi,origin of hero
Sci-Fi,reboot
Action,brother brother relationship
Action,brother sister relationship
Action,good versus evil
Action,king
Action,narnia
Adventure,brother brother relationship
Adventure,brother sister relationship
Adventure,good versus evil
Adventure,king
Adventure,narnia
Family,brother brother relationship
Family,brother sister relationship
Family,good versus evil
Family,king
Family,narnia
Fantasy,brother brother relationship
Fantasy,brother sister relationship
Fantasy,good versus evil
Fantasy,king
Fantasy,narnia
Action,alien invasion
Action,assassin
Action,battle
Action,iron man
Action,soldier
Adventure,alien invasion
Adventure,assassin
Adventure,battle
Adventure,iron man
Adventure,soldier
Sci-Fi,alien invasion
Sci-Fi,assassin
Sci-Fi,battle
Sci-Fi,iron man
Sci-Fi,soldier
Action,blackbeard
Action,captain
Action,pirate
Action,revenge
Action,soldier
Adventure,blackbeard
Adventure,captain
Adventure,pirate
Adventure,revenge
Adventure,soldier
Fantasy,blackbeard
Fantasy,captain
Fantasy,pirate
Fantasy,revenge
Fantasy,soldier
Action,alien
Action,criminal
Action,m.i.b.
Action,maximum security prison
Action,prison
Adventure,alien
Adventure,criminal
Adventure,m.i.b.
Adventure,maximum security prison
Adventure,prison
Comedy,alien
Comedy,criminal
Comedy,m.i.b.
Comedy,maximum security prison
Comedy,prison
Family,alien
Family,criminal
Family,m.i.b.
Family,maximum security prison
Family,prison
Fantasy,alien
Fantasy,criminal
Fantasy,m.i.b.
Fantasy,maximum security prison
Fantasy,prison
Sci-Fi,alien
Sci-Fi,criminal
Sci-Fi,m.i.b.
Sci-Fi,maximum security prison
Sci-Fi,prison
Adventure,army
Adventure,elf
Adventure,hobbit
Adventure,middle earth
Adventure,orc
Fantasy,army
Fantasy,elf
Fantasy,hobbit
Fantasy,middle earth
Fantasy,orc
Action,lizard
Action,outcast
Action,spider
Action,spider man
Action,teenager
Adventure,lizard
Adventure,outcast
Adventure,spider
Adventure,spider man
Adventure,teenager
Fantasy,lizard
Fantasy,outcast
Fantasy,spider
Fantasy,spider man
Fantasy,teenager
Action,1190s
Action,archer
Action,england
Action,king of england
Action,robin hood
Adventure,1190s
Adventure,archer
Adventure,england
Adventure,king of england
Adventure,robin hood
Drama,1190s
Drama,archer
Drama,england
Drama,king of england
Drama,robin hood
History,1190s
History,archer
History,england
History,king of england
History,robin hood
Adventure,dwarf
Adventure,elf
Adventure,lake town
Adventure,mountain
Adventure,sword and sorcery
Fantasy,dwarf
Fantasy,elf
Fantasy,lake town
Fantasy,mountain
Fantasy,sword and sorcery
Adventure,children
Adventure,epic
Adventure,friend
Adventure,girl
Adventure,quest
Family,children
Family,epic
Family,friend
Family,girl
Family,quest
Fantasy,children
Fantasy,epic
Fantasy,friend
Fantasy,girl
Fantasy,quest
Action,animal name in title
Action,ape abducts a woman
Action,gorilla
Action,island
Action,king kong
Adventure,animal name in title
Adventure,ape abducts a woman
Adventure,gorilla
Adventure,island
Adventure,king kong
Drama,animal name in title
Drama,ape abducts a woman
Drama,gorilla
Drama,island
Drama,king kong
Romance,animal name in title
Romance,ape abducts a woman
Romance,gorilla
Romance,island
Romance,king kong
Drama,artist
Drama,love
Drama,ship
Drama,titanic
Drama,wet
Romance,artist
Romance,love
Romance,ship
Romance,titanic
Romance,wet
Action,based on comic book
Action,knife
Action,marvel cinematic universe
Action,returning character killed off
Action,superhero
Adventure,based on comic book
Adventure,knife
Adventure,marvel cinematic universe
Adventure,returning character killed off
Adventure,superhero
Sci-Fi,based on comic book
Sci-Fi,knife
Sci-Fi,marvel cinematic universe
Sci-Fi,returning character killed off
Sci-Fi,superhero
Action,box office flop
Action,hawaii
Action,naval
Action,oahu hawaii
Action,ship
Adventure,box office flop
Adventure,hawaii
Adventure,naval
Adventure,oahu hawaii
Adventure,ship
Sci-Fi,box office flop
Sci-Fi,hawaii
Sci-Fi,naval
Sci-Fi,oahu hawaii
Sci-Fi,ship
Thriller,box office flop
Thriller,hawaii
Thriller,naval
Thriller,oahu hawaii
Thriller,ship
Action,dinosaur
Action,disaster film
Action,experiment gone wrong
Action,jurassic park
Action,velociraptor
Adventure,dinosaur
Adventure,disaster film
Adventure,experiment gone wrong
Adventure,jurassic park
Adventure,velociraptor
Sci-Fi,dinosaur
Sci-Fi,disaster film
Sci-Fi,experiment gone wrong
Sci-Fi,jurassic park
Sci-Fi,velociraptor
Thriller,dinosaur
Thriller,disaster film
Thriller,experiment gone wrong
Thriller,jurassic park
Thriller,velociraptor
Action,brawl
Action,childhood home
Action,computer cracker
Action,intelligence agency
Action,terrorist cell
Adventure,brawl
Adventure,childhood home
Adventure,computer cracker
Adventure,intelligence agency
Adventure,terrorist cell
Thriller,brawl
Thriller,childhood home
Thriller,computer cracker
Thriller,intelligence agency
Thriller,terrorist cell
Action,death
Action,doctor
Action,scientist
Action,super villain
Action,tentacle
Adventure,death
Adventure,doctor
Adventure,scientist
Adventure,super villain
Adventure,tentacle
Fantasy,death
Fantasy,doctor
Fantasy,scientist
Fantasy,super villain
Fantasy,tentacle
Romance,death
Romance,doctor
Romance,scientist
Romance,super villain
Romance,tentacle
Action,armor
Action,explosion
Action,human bomb
Action,missile attack
Action,terrorist
Adventure,armor
Adventure,explosion
Adventure,human bomb
Adventure,missile attack
Adventure,terrorist
Sci-Fi,armor
Sci-Fi,explosion
Sci-Fi,human bomb
Sci-Fi,missile attack
Sci-Fi,terrorist
Adventure,alice in wonderland
Adventure,mistaking reality for dream
Adventure,queen
Adventure,shrinking
Adventure,shrinking potion
Family,alice in wonderland
Family,mistaking reality for dream
Family,queen
Family,shrinking
Family,shrinking potion
Fantasy,alice in wonderland
Fantasy,mistaking reality for dream
Fantasy,queen
Fantasy,shrinking
Fantasy,shrinking potion
Action,battle
Action,mutant
Action,outrage
Action,walking through a wall
Action,x men
Adventure,battle
Adventure,mutant
Adventure,outrage
Adventure,walking through a wall
Adventure,x men
Fantasy,battle
Fantasy,mutant
Fantasy,outrage
Fantasy,walking through a wall
Fantasy,x men
Sci-Fi,battle
Sci-Fi,mutant
Sci-Fi,outrage
Sci-Fi,walking through a wall
Sci-Fi,x men
Thriller,battle
Thriller,mutant
Thriller,outrage
Thriller,walking through a wall
Thriller,x men
Adventure,cheating
Adventure,fraternity
Adventure,monster
Adventure,singing in a car
Adventure,university
Animation,cheating
