gross,genres,month,year,imdb_score
760505847,Action,12,2009,7.9
760505847,Adventure,12,2009,7.9
760505847,Fantasy,12,2009,7.9
760505847,Sci-Fi,12,2009,7.9
309404152,Action,5,2007,7.1
309404152,Adventure,5,2007,7.1
309404152,Fantasy,5,2007,7.1
200074175,Action,10,2015,6.8
200074175,Adventure,10,2015,6.8
200074175,Thriller,10,2015,6.8
448130642,Action,7,2012,8.5
448130642,Thriller,7,2012,8.5
73058679,Action,2,2012,6.6
73058679,Adventure,2,2012,6.6
73058679,Sci-Fi,2,2012,6.6
336530303,Action,4,2007,6.2
336530303,Action,4,2007,6.2
336530303,Adventure,4,2007,6.2
336530303,Adventure,4,2007,6.2
336530303,Romance,4,2007,6.2
336530303,Romance,4,2007,6.2
200807262,Adventure,11,2010,7.8
200807262,Animation,11,2010,7.8
200807262,Comedy,11,2010,7.8
200807262,Family,11,2010,7.8
200807262,Fantasy,11,2010,7.8
200807262,Musical,11,2010,7.8
200807262,Romance,11,2010,7.8
458991599,Action,4,2015,7.5
458991599,Adventure,4,2015,7.5
458991599,Sci-Fi,4,2015,7.5
301956980,Adventure,7,2009,7.5
301956980,Family,7,2009,7.5
301956980,Fantasy,7,2009,7.5
301956980,Mystery,7,2009,7.5
330249062,Action,3,2016,6.9
330249062,Adventure,3,2016,6.9
330249062,Sci-Fi,3,2016,6.9
200069408,Action,6,2006,6.1
200069408,Adventure,6,2006,6.1
200069408,Sci-Fi,6,2006,6.1
168368427,Action,10,2008,6.7
168368427,Adventure,10,2008,6.7
423032628,Action,6,2006,7.3
423032628,Adventure,6,2006,7.3
423032628,Fantasy,6,2006,7.3
89289910,Action,6,2013,6.5
89289910,Adventure,6,2013,6.5
89289910,Western,6,2013,6.5
291021565,Action,6,2013,7.2
291021565,Adventure,6,2013,7.2
291021565,Fantasy,6,2013,7.2
291021565,Sci-Fi,6,2013,7.2
141614023,Action,5,2008,6.6
141614023,Adventure,5,2008,6.6
141614023,Family,5,2008,6.6
141614023,Fantasy,5,2008,6.6
623279547,Action,4,2012,8.1
623279547,Action,4,2012,8.1
623279547,Adventure,4,2012,8.1
623279547,Adventure,4,2012,8.1
623279547,Sci-Fi,4,2012,8.1
623279547,Sci-Fi,4,2012,8.1
241063875,Action,5,2011,6.7
241063875,Adventure,5,2011,6.7
241063875,Fantasy,5,2011,6.7
179020854,Action,5,2012,6.8
179020854,Adventure,5,2012,6.8
179020854,Comedy,5,2012,6.8
179020854,Family,5,2012,6.8
179020854,Fantasy,5,2012,6.8
179020854,Sci-Fi,5,2012,6.8
255108370,Adventure,12,2014,7.5
255108370,Fantasy,12,2014,7.5
262030663,Action,6,2012,7
262030663,Adventure,6,2012,7
